"","X","Y","station","rok","mies","tavg","opad","cisnienie"
"195",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,1,-1.6,38.9,971.8
"103",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,2,2.8,45.5,970.9
"117",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,3,3.4,128.5,967.4
"218",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,4,11.8,88.6,963.3
"61",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,5,15.1,116.3,969.8
"213",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,6,17.2,81.1,972.3
"223",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,7,16,322.5,964.4
"211",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,8,18.6,62.8,971.4
"216",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,9,12.2,46.1,969.7
"209",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,10,13.4,39.5,970.3
"252",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,11,8.9,77.2,964.8
"246",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2000,12,2.1,46.2,966.1
"127",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,1,-0.5,71.1,969.6
"142",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,2,0.6,41.5,968.3
"210",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,3,4.2,77.2,961.1
"144",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,4,7.6,137.9,964.9
"104",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,5,14.5,75.7,969
"37",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,6,14.1,172.1,967.6
"25",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,7,18.6,250.4,968
"107",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,8,19,98.3,970.9
"4",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,9,11.9,162.5,965
"1",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,10,12.4,24.5,972.8
"19",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,11,1.8,71.6,970.5
"112",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2001,12,-4.7,47.1,971.9
"159",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,1,-1,30.6,975.2
"52",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,2,4.6,54,966.1
"15",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,3,5.6,45.6,969.3
"54",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,4,8.3,27.8,968.8
"55",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,5,16.5,124.1,968
"136",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,6,17.1,169.7,970
"177",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,7,19.3,164.9,968.5
"111",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,8,18.8,94.9,967.9
"99",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,9,11.9,132.2,970.4
"100",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,10,7.6,127.8,966.8
"116",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,11,6.7,40.6,964.6
"89",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2002,12,-4.3,29.5,972.6
"72",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,1,-2.1,36,966.7
"60",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,2,-4.4,14.6,974.4
"45",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,3,2.8,50.8,975.1
"34",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,4,7.3,65.4,968.8
"49",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,5,15.7,134.4,971.1
"51",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,6,18.8,64.6,969.7
"16",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,7,18.4,151.2,969.1
"26",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,8,19.3,45.4,970.2
"135",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,9,14.2,49.3,973.6
"167",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,10,5.7,82.6,966.3
"138",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,11,6.6,26.3,972.3
"168",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2003,12,1.4,66.5,970.6
"179",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,1,-3.5,54.7,962.6
"250",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,2,0.4,97.8,968.3
"113",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,3,3.1,98.3,972.3
"87",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,4,9.2,48.3,967.1
"101",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,5,11.8,89.1,966.4
"76",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,6,15.7,133.4,969.4
"185",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,7,17.4,110.9,969.5
"77",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,8,18.3,79.6,967.9
"91",19.0023379164731,49.8067075910003,"BIELSKO-BIAŁA",2004,9,13.6,54.6,972.7
